 Retrying in 1 seconds
成功獲取交通號誌 '1253678773' 的相位總數: 4
時間: 2090s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2100s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2110s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2120s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2130s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2140s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2150s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2160s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2170s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2180s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2190s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2200s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2210s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2220s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2230s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2240s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2250s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2260s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2270s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2280s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2290s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2300s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2310s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2320s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2330s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2340s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2350s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2360s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2370s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2380s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2390s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2400s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2410s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2420s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2430s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2440s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2450s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2460s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2470s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2480s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2490s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2500s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2510s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2520s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2530s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2540s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2550s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2560s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2570s | 獎勵: -39.00 | Epsilon: 0.050
時間: 2580s | 獎勵: -40.00 | Epsilon: 0.050
時間: 2590s | 獎勵: -40.00 | Epsilon: 0.050
正在關閉模擬...
